pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
negative regulation of glomerular mesangial cell proliferation (3g)	1.2433141974636912	-0.5540541715043006	1.0629237816168844	-0.07541050466346635	-1.388802729075417	-0.2879705738373927
positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (9g)	-0.7955987752546413	1.1944902584732557	-0.6114833633996702	-1.1763287932993485	1.0246148149435936	0.3643058585368075
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (13g)	-0.6871509355320022	1.1837682110829308	-0.44377302054044676	-1.2715587447160408	1.143252260513371	0.07546222919218691
positive regulation of vasculogenesis (12g)	-0.5300921219015825	1.0303644737532707	-1.5263269894510472	-0.4369188921926609	0.9140154229300298	0.548958106861993
regulation of vasculogenesis (16g)	-0.4339585109708156	1.0092291809397522	-1.4514186300240246	-0.6630168196170366	0.9462388628680369	0.5929259168040868
regulation of vascular wound healing (6g)	0.8274122960892365	1.0292163377665626	-0.0343612178127361	0.3323010680486272	-0.4356397715957727	-1.7189287124959174
positive regulation of vascular wound healing (4g)	0.8020917748310488	1.1353337920160047	0.2145533371795409	-0.11145547216674902	-0.3393275889030836	-1.7011958429567617
regulation of cardiac vascular smooth muscle cell differentiation (3g)	0.27021267757854583	-1.1556783860382915	1.7983519094595406	-0.522929588195399	-0.13239015849127903	-0.25756645431311537
negative regulation of lymphangiogenesis (3g)	0.1423222233758395	-0.4429885287906747	1.624762680761414	0.5767656469502105	-0.9970944545018441	-0.9037675677949452
positive regulation of glomerular mesangial cell proliferation (6g)	-1.0282202435029737	0.5829183626551708	-0.7384412483182026	-0.7631899861559358	1.5119554634775425	0.434977651844398
regulation of glomerular mesangial cell proliferation (9g)	-1.0112766787915577	0.5815123498116094	-0.7170291094710883	-0.8048910426875132	1.510933996515336	0.4407504846232125
negative regulation of vascular smooth muscle cell differentiation (8g)	-1.128580674518261	0.6240047331890195	-1.1863940579239334	-0.2096074695423858	1.1494874350082027	0.7510900337873554
regulation of vascular smooth muscle cell differentiation (14g)	-1.169185026693437	0.6272335617714911	-1.1848058369736316	-0.1512802636022457	1.0962149884131391	0.7818225770846884
negative regulation of sprouting angiogenesis (24g)	-0.6787246907752087	-0.48818002973292274	-0.1848209547000898	-0.8252588181054481	1.8682907489896206	0.30869374432406094
regulation of artery morphogenesis (3g)	0.1599011457701124	0.046238352533156994	-0.2929003795243467	-1.350113077293027	1.7262549931378506	-0.28938103462374676
positive regulation of artery morphogenesis (3g)	0.1599011457701124	0.046238352533156994	-0.2929003795243467	-1.350113077293027	1.7262549931378506	-0.28938103462374676
negative regulation of cell migration involved in sprouting angiogenesis (15g)	-0.8196049203012288	0.19310601091653765	-0.8373720905974359	-0.8061871484368716	1.5612016379368434	0.7088565104821578
regulation of vasculature development (322g)	-0.7703677098790079	0.6272870744666597	-1.6207734252176504	0.31184289888695715	0.3834243340178269	1.0685868277252168
regulation of angiogenesis (290g)	-0.6242027298228154	0.5688490969583048	-1.6407814987476632	0.5543675589898464	0.007200477647272639	1.1345670949750524
positive regulation of vasculature development (186g)	-0.5308093662080697	0.5831357336393636	-1.6817802077689332	0.5256300393736564	-0.024416580323924145	1.1282403812879094
positive regulation of angiogenesis (166g)	-0.31785489441536907	0.43713651629260697	-1.572465595419607	0.8526676479046416	-0.5145669217788864	1.1150832474166164
positive regulation of cell migration involved in sprouting angiogenesis (21g)	-0.8587415657236233	0.14617131212633128	-1.2213215837683777	0.1377490392483513	0.15056514945164237	1.6455776486656801
regulation of cell migration involved in sprouting angiogenesis (38g)	-0.905325751163986	0.31673620081225135	-1.345112135557503	-0.05458882734083447	0.6126303266814215	1.3756601865686475
negative regulation of vasculature development (119g)	-1.006650340970819	0.594812452518101	-1.3063148126178277	-0.21956266253483003	0.9486503844520938	0.9890649791532892
positive regulation of sprouting angiogenesis (40g)	-0.8107141446029934	0.6659369278175513	-1.4257757145117294	-9.40704877370879e-5	0.22275431187615297	1.3478926899087518
regulation of sprouting angiogenesis (68g)	-0.9357135848095942	0.660650808175491	-1.391896054624853	-0.1818718565127261	0.8594494229538809	0.9893812648178015
negative regulation of angiogenesis (106g)	-0.9033651514727891	0.5540549434092057	-1.3801602747954416	-0.20619607293102407	0.8002134542304571	1.1354531015596032
