dataset	cell_type	count	group
N1	APOE_LAM	207	normal
N1	DC	114	normal
N1	Eosinophil	52	normal
N1	Eryth	0	normal
N1	Mast	104	normal
N1	Tissue-resident_Mac	376	normal
N1	TREM2_LAM	473	normal
N2	APOE_LAM	116	normal
N2	DC	366	normal
N2	Eosinophil	24	normal
N2	Eryth	1	normal
N2	Mast	135	normal
N2	Tissue-resident_Mac	277	normal
N2	TREM2_LAM	378	normal
N4	APOE_LAM	70	normal
N4	DC	196	normal
N4	Eosinophil	87	normal
N4	Eryth	0	normal
N4	Mast	95	normal
N4	Tissue-resident_Mac	510	normal
N4	TREM2_LAM	662	normal
N7	APOE_LAM	5	normal
N7	DC	59	normal
N7	Eosinophil	6	normal
N7	Eryth	0	normal
N7	Mast	32	normal
N7	Tissue-resident_Mac	115	normal
N7	TREM2_LAM	123	normal
T1	APOE_LAM	2	tumor
T1	DC	112	tumor
T1	Eosinophil	7	tumor
T1	Eryth	106	tumor
T1	Mast	125	tumor
T1	Tissue-resident_Mac	276	tumor
T1	TREM2_LAM	70	tumor
T2	APOE_LAM	0	tumor
T2	DC	392	tumor
T2	Eosinophil	182	tumor
T2	Eryth	38	tumor
T2	Mast	359	tumor
T2	Tissue-resident_Mac	467	tumor
T2	TREM2_LAM	104	tumor
T4	APOE_LAM	1	tumor
T4	DC	608	tumor
T4	Eosinophil	541	tumor
T4	Eryth	22	tumor
T4	Mast	267	tumor
T4	Tissue-resident_Mac	393	tumor
T4	TREM2_LAM	247	tumor
T7	APOE_LAM	1	tumor
T7	DC	181	tumor
T7	Eosinophil	57	tumor
T7	Eryth	169	tumor
T7	Mast	153	tumor
T7	Tissue-resident_Mac	181	tumor
T7	TREM2_LAM	7	tumor
